,title,authors,abstract
162,Effective potentials for quasicrystals from ab-initio data,"Peter Brommer and Franz G\""ahler (Institut f\""ur Theoretische und   Angewandte Physik, Universit\""at Stuttgart)","  Classical effective potentials are indispensable for any large-scale atomistic simulations, and the relevance of simulation results crucially depends on the quality of the potentials used. For complex alloys like quasicrystals, however, realistic effective potentials are practically inexistent. We report here on our efforts to develop effective potentials especially for quasicrystalline alloy systems. We use the so-called force matching method, in which the potential parameters are adapted so as to optimally reproduce the forces and energies in a set of suitably chosen reference configurations. These reference data are calculated with ab-initio methods. As a first application, EAM potentials for decagonal Al-Ni-Co, icosahedral Ca-Cd, and both icosahedral and decagonal Mg-Zn quasicrystals have been constructed. The influence of the potential range and degree of specialisation on the accuracy and other properties is discussed and compared. "
163,On smooth foliations with Morse singularities,Lilia Rosati,"  Let $M$ be a smooth manifold and let $\F$ be a codimension one, $C^\infty$ foliation on $M$, with isolated singularities of Morse type. The study and classification of pairs $(M,\F)$ is a challenging (and difficult) problem. In this setting, a classical result due to Reeb \cite{Reeb} states that a manifold admitting a foliation with exactly two center-type singularities is a sphere. In particular this is true if the foliation is given by a function. Along these lines a result due to Eells and Kuiper \cite{Ku-Ee} classify manifolds having a real-valued function admitting exactly three non-degenerate singular points. In the present paper, we prove a generalization of the above mentioned results. To do this, we first describe the possible arrangements of pairs of singularities and the corresponding codimension one invariant sets, and then we give an elimination procedure for suitable center-saddle and some saddle-saddle configurations (of consecutive indices). In the second part, we investigate if other classical results, such as Haefliger and Novikov (Compact Leaf) theorems, proved for regular foliations, still hold true in presence of singularities. At this purpose, in the singular set, $Sing(\F)$ of the foliation $\F$, we consider {\em{weakly stable}} components, that we define as those components admitting a neighborhood where all leaves are compact. If $Sing(\F)$ admits only weakly stable components, given by smoothly embedded curves diffeomorphic to $S^1$, we are able to extend Haefliger's theorem. Finally, the existence of a closed curve, transverse to the foliation, leads us to state a Novikov-type result. "
164,Frobenius-Schur indicators for semisimple Lie algebras,Mohammad Abu-Hamed and Shlomo Gelaki,"  Let g be a finite dimensional complex semisimple Lie algebra, and let V be a finite dimensional represenation of g. We give a closed formula for the mth Frobenius-Schur indicator, m>1, of V in representation-theoretic terms. We deduce that the indicators take integer values, and that for a large enough m, the mth indicator of V equals the dimension of the zero weight space of V. For the classical Lie algebras sl(n), so(2n), so(2n+1) and sp(2n), this is the case for m greater or equal to 2n-1, 4n-5, 4n-3 and 2n+1, respectively. "
165,Supersymmetry breaking metastable vacua in runaway quiver gauge theories,"Inaki Garcia-Etxebarria, Fouad Saad, Angel M. Uranga","  In this paper we consider quiver gauge theories with fractional branes whose infrared dynamics removes the classical supersymmetric vacua (DSB branes). We show that addition of flavors to these theories (via additional non-compact branes) leads to local meta-stable supersymmetry breaking minima, closely related to those of SQCD with massive flavors. We simplify the study of the one-loop lifting of the accidental classical flat directions by direct computation of the pseudomoduli masses via Feynman diagrams. This new approach allows to obtain analytic results for all these theories. This work extends the results for the $dP_1$ theory in hep-th/0607218. The new approach allows to generalize the computation to general examples of DSB branes, and for arbitrary values of the superpotential couplings. "
166,Low Energy Aspects of Heavy Meson Decays,Jan O. Eeg,"  I discuss low energy aspects of heavy meson decays, where there is at least one heavy meson in the final state. Examples are $B -\bar{B}$ mixing, $B \to D \bar{D}$, $B \to D \eta'$, and $B \to D \gamma$. %and $B \to D W $ (Isgur-Wise function). The analysis is performed in the heavy quark limit within heavy-light chiral perturbation theory. Coefficients of $1/N_c$ suppressed chiral Lagrangian terms (beyond factorization) have been estimated by means of a heavy-light chiral quark model. "
167,Radiative losses and cut-offs of energetic particles at relativistic   shocks,Paul Dempsey and Peter Duffy,"  We investigate the acceleration and simultaneous radiative losses of electrons in the vicinity of relativistic shocks. Particles undergo pitch angle diffusion, gaining energy as they cross the shock by the Fermi mechanism and also emitting synchrotron radiation in the ambient magnetic field. A semi-analytic approach is developed which allows us to consider the behaviour of the shape of the spectral cut-off and the variation of that cut-off with the particle pitch angle. The implications for the synchrotron emission of relativistic jets, such as those in gamma ray burst sources and blazars, are discussed. "
168,Very strong and slowly varying magnetic fields as source of axions,Giorgio Calucci,"  The investigation on the production of particles in slowly varying but extremely intense magnetic field in extended to the case of axions. The motivation is, as for some previously considered cases, the possibility that such kind of magnetic field may exist around very compact astrophysical objects. "
169,Symmetry disquisition on the TiOX phase diagram,"Daniele Fausti, Tom T. A. Lummen, Cosmina Angelescu, Roberto Macovez,   Javier Luzon, Ria Broer, Petra Rudolf, Paul H.M. van Loosdrecht, Natalia   Tristan, Bernd Buchner, Sander van Smaalen, Angela Moller, Gerd Meyer, Timo   Taetz","  The sequence of phase transitions and the symmetry of in particular the low temperature incommensurate and spin-Peierls phases of the quasi one-dimensional inorganic spin-Peierls system TiOX (TiOBr and TiOCl) have been studied using inelastic light scattering experiments. The anomalous first-order character of the transition to the spin-Peierls phase is found to be a consequence of the different symmetries of the incommensurate and spin-Peierls (P$2_{1}/m$) phases.   The pressure dependence of the lowest transition temperature strongly suggests that magnetic interchain interactions play an important role in the formation of the spin-Peierls and the incommensurate phases. Finally, a comparison of Raman data on VOCl to the TiOX spectra shows that the high energy scattering observed previously has a phononic origin. "
170,Discovery of a point-like very-high-energy gamma-ray source in Monoceros,"F. Aharonian, et al","  The complex Monoceros Loop SNR/Rosette Nebula region contains several potential sources of very-high-energy (VHE) gamma-ray emission and two as yet unidentified high-energy EGRET sources. Sensitive VHE observations are required to probe acceleration processes in this region. The H.E.S.S. telescope array has been used to search for very high-energy gamma-ray sources in this region. CO data from the NANTEN telescope were used to map the molecular clouds in the region, which could act as target material for gamma-ray production via hadronic interactions. We announce the discovery of a new gamma-ray source, HESS J0632+058, located close to the rim of the Monoceros SNR. This source is unresolved by H.E.S.S. and has no clear counterpart at other wavelengths but is possibly associated with the weak X-ray source 1RXS J063258.3+054857, the Be-star MWC 148 and/or the lower energy gamma-ray source 3EG J0634+0521. No evidence for an associated molecular cloud was found in the CO data. "
171,Thermal entanglement of qubit pairs on the Shastry-Sutherland lattice,"S. El Shawish, A. Ramsak, and J. Bonca","  We show that temperature and magnetic field properties of the entanglement between spins on the two-dimensional Shastry-Sutherland lattice can be qualitatively described by analytical results for a qubit tetramer. Exact diagonalization of clusters with up to 20 sites reveals that the regime of fully entangled neighboring pairs coincides with the regime of finite spin gap in the spectrum. Additionally, the results for the regime of vanishing spin gap are discussed and related to the Heisenberg limit of the model. "
172,Bonding of H in O vacancies of ZnO,H. Takenaka and D.J. Singh,  We investigate the bonding of H in O vacancies of ZnO using density functional calculations. We find that H is anionic and does not form multicenter bonds with Zn in this compound. 
173,"Reparametrization Invariance, the controversial extraction of $\alpha$   from $B\to\pi\pi$ and New Physics","Francisco J. Botella (Valencia U. & Valencia U., IFIC), Miguel Nebot   (Lisbon, IST)","  The extraction of the weak phase $\alpha$ from $B\to\pi\pi$ decays has been controversial from a statistical point of view, as the frequentist vs. bayesian confrontation shows. We analyse several relevant questions which have not deserved full attention and pervade the extraction of $\alpha$. Reparametrization Invariance proves appropriate to understand those issues. We show that some Standard Model inspired parametrizations can be senseless or inadequate if they go beyond the minimal Gronau and London assumptions: the single weak phase $\alpha$ just in the $\Delta I=3/2$ amplitudes, the isospin relations and experimental data. Beside those analyses, we extract $\alpha$ through the use of several adequate parametrizations, showing that there is no relevant discrepancy between frequentist and bayesian results. The most relevant information, in terms of $\alpha$, is the exclusion of values around $\alpha\sim \pi/4$; this result is valid in the presence of arbitrary New Physics contributions to the $\Delta I=1/2$ piece. "
174,Solar System Constraints on Gauss-Bonnet Mediated Dark Energy,"Luca Amendola, Christos Charmousis and Stephen C. Davis","  Although the Gauss-Bonnet term is a topological invariant for general relativity, it couples naturally to a quintessence scalar field, modifying gravity at solar system scales. We determine the solar system constraints due to this term by evaluating the post-Newtonian metric for a distributional source. We find a mass dependent, 1/r^7 correction to the Newtonian potential, and also deviations from the Einstein gravity prediction for light-bending. We constrain the parameters of the theory using planetary orbits, the Cassini spacecraft data, and a laboratory test of Newton's law, always finding extremely tight bounds on the energy associated to the Gauss-Bonnet term. We discuss the relevance of these constraints to late-time cosmological acceleration. "
175,Switching mechanism of photochromic diarylethene derivatives molecular   junctions,"Jing Huang, Qunxiang Li, Hao Ren, Haibin Su, Q. W. Shi, and Jinlong   Yang","  The electronic transport properties and switching mechanism of single photochromic diarylethene derivatives sandwiched between two gold surfaces with closed and open configurations are investigated by a fully self-consistent nonequilibrium Green's function method combined with density functional theory. The calculated transmission spectra of two configurations are strikingly distinctive. The open form lacks any significant transmission peak within a wide energy window, while the closed structure has two significant transmission peaks on the both sides of the Fermi level. The electronic transport properties of the molecular junction with closed structure under a small bias voltage are mainly determined by the tail of the transmission peak contributed unusually by the perturbed lowest perturbed unoccupied molecular orbital. The calculated on-off ratio of currents between the closed and open configurations is about two orders of magnitude, which reproduces the essential features of the experimental measured results. Moreover, we find that the switching behavior within a wide bias voltage window is extremely robust to both substituting F or S for H or O and varying end anchoring atoms from S to Se and Te. "
176,Robust manipulation of electron spin coherence in an ensemble of singly   charged quantum dots,"A. Greilich (1), M. Wiemann (1), F. G. G. Hernandez (1), D. R.   Yakovlev (1), I. A. Yugova (1), A. Shabaev (2), Al. L. Efros (2), D. Reuter   (3), A. D. Wieck (3), and M. Bayer (1) ((1) Universit\""at Dortmund, Germany,   (2) Washington, USA, (3) Ruhr-Universit\""at Bochum, Germany)","  Using the recently reported mode locking effect we demonstrate a highly robust control of electron spin coherence in an ensemble of (In,Ga)As quantum dots during the single spin coherence time. The spin precession in a transverse magnetic field can be fully controlled up to 25 K by the parameters of the exciting pulsed laser protocol such as the pulse train sequence, leading to adjustable quantum beat bursts in Faraday rotation. Flipping of the electron spin precession phase was demonstrated by inverting the polarization within a pulse doublet sequence. "
177,Equation of state for dense hydrogen and plasma phase transition,"Bastian Holst, Nadine Nettelmann, Ronald Redmer","  We calculate the equation of state of dense hydrogen within the chemical picture. Fluid variational theory is generalized for a multi-component system of molecules, atoms, electrons, and protons. Chemical equilibrium is supposed for the reactions dissociation and ionization. We identify the region of thermodynamic instability which is related to the plasma phase transition. The reflectivity is calculated along the Hugoniot curve and compared with experimental results. The equation-of-state data is used to calculate the pressure and temperature profiles for the interior of Jupiter. "
178,Experimental nonclassicality of single-photon-added thermal light states,"Alessandro Zavatta, Valentina Parigi, and Marco Bellini","  We report the experimental realization and tomographic analysis of novel quantum light states obtained by exciting a classical thermal field by a single photon. Such states, although completely incoherent, possess a tunable degree of quantumness which is here exploited to put to a stringent experimental test some of the criteria proposed for the proof and the measurement of state non-classicality. The quantum character of the states is also given in quantum information terms by evaluating the amount of entanglement that they can produce. "
179,Neutron Skin and Giant Resonances in Nuclei,Vadim Rodin,"  Some aspects, both experimental and theoretical, of extracting the neutron skin $\Delta R$ from properties of isovector giant resonances are discussed. Existing proposals are critically reviewed. The method relying on the energy difference between the GTR and IAS is shown to lack sensitivity to $\Delta R$. A simple explanation of the linear relation between the symmetry energy and the neutron skin is also given. "
180,Genetic Optimization of Photonic Bandgap Structures,"Joel Goh, Ilya Fushman, Dirk Englund, and Jelena Vuckovic","  We investigate the use of a Genetic Algorithm (GA) to design a set of photonic crystals (PCs) in one and two dimensions. Our flexible design methodology allows us to optimize PC structures which are optimized for specific objectives. In this paper, we report the results of several such GA-based PC optimizations. We show that the GA performs well even in very complex design spaces, and therefore has great potential for use as a robust design tool in present and future applications. "
181,Huge magneto-crystalline anisotropy of x-ray linear dichroism observed   on Co/FeMn bilayers,"W. Kuch, F. Offi, L. I. Chelaru, J. Wang, K. Fukumoto, M. Kotsugi, J.   Kirschner, J. Kunes","  We present an x-ray spectromicroscopic investigation of single-crystalline magnetic FeMn/Co bilayers on Cu(001), using X-ray magnetic circular (XMCD) and linear (XMLD) dichroism at the Co and Fe L3 absorption edges in combination with photoelectron emission microscopy (PEEM). Using the magnetic coupling between the ferromagnetic Co layer and the antiferromagnetic FeMn layer we are able to produce magnetic domains with two different crystallographic orientations of the magnetic easy axis within the same sample at the same time. We find a huge difference in the XMLD contrast between the two types of magnetic domains, which we discuss in terms of intrinsic magneto-crystalline anisotropy of XMLD of the Co layer. We also demonstrate that due to the high sensitivity of the method, the small number of induced ferromagnetic Fe moments at the FeMn-Co interface is sufficient to obtain magnetic contrast from XMLD in a metallic system. "
182,Temperature Dependence of the Tensile Properties of Single Walled Carbon   Nanotubes: O(N) Tight Binding MD Simulation,"G. Dereli and B. Sungu (Yildiz Tech. Univ., Istanbul)","  This paper examines the effect of temperature on the structural stability and mechanical properties of 20 layered (10,10) single walled carbon nanotubes (SWCNTs) under tensile loading using an O(N) tight binding molecular dynamics (TBMD) simulation method. We observed that (10,10) tube can sustain its structural stability for the strain values of 0.23 in elongation and 0.06 in compression at 300K. Bond breaking strain value decreases with increasing temperature under streching but not under compression. The elastic limit, Young's modulus, tensile strength and Poisson ratio are calculated as 0.10, 0.395 TPa, 83.23 GPa, 0.285, respectively, at 300K. In the temperature range from 300K to 900K; Young's modulus and the tensile strengths are decreasing with increasing temperature while the Poisson ratio is increasing. At higher temperatures, Young's modulus starts to increase while the Poisson ratio and tensile strength decrease. In the temperature range from 1200K to 1800K, the SWCNT is already deformed and softened. Applying strain on these deformed and softened SWCNTs do not follow the same pattern as in the temperature range of 300K to 900K. "
183,Gamma-ray emitting AGN and GLAST,P. Padovani (ESO),"  I describe the different classes of Active Galactic Nuclei (AGN) and the basic tenets of unified schemes. I then review the properties of the extragalactic sources detected in the GeV and TeV bands, showing that the vast majority of them belong to the very rare blazar class. I further discuss the kind of AGN GLAST is likely to detect, making some predictions going from the obvious to the likely, all the way to the less probable. "
184,Potfit: effective potentials from ab-initio data,"Peter Brommer and Franz G\""ahler (Institut f\""ur Theoretische und   Angewandte Physik, Universit\""at Stuttgart)","  We present a program called potfit which generates an effective atomic interaction potential by matching it to a set of reference data computed in first-principles calculations. It thus allows to perform large-scale atomistic simulations of materials with physically justified potentials. We describe the fundamental principles behind the program, emphasizing its flexibility in adapting to different systems and potential models, while also discussing its limitations. The program has been used successfully in creating effective potentials for a number of complex intermetallic alloys, notably quasicrystals. "
185,Dark energy and neutrino model in SUSY -- Remarks on active and sterile   neutrinos mixing --,Ryo Takahashi and Morimitsu Tanimoto,"  We consider a Mass Varying Neutrinos (MaVaNs) model in supersymmetric theory. The model includes effects of supersymmetry breaking transmitted by the gravitational interaction from the hidden sector, in which supersymmetry was broken, to the dark energy sector. Then evolutions of the neutrino mass and the equation of state parameter of the dark energy are presented in the model. It is remarked that only the mass of a sterile neutrino is variable in the case of the vanishing mixing between the left-handed and a sterile neutrino on cosmological time scale. The finite mixing makes the mass of the left-handed neutrino variable. "
186,The transverse proximity effect in spectral hardness on the line of   sight towards HE 2347-4342,"G. Worseck (1), C. Fechner (2,3), L. Wisotzki (1) and A. Dall'Aglio   (1) ((1) Astrophysikalisches Institut Potsdam, (2) Hamburger Sternwarte, (3)   Universit\""at Potsdam)","  We report the discovery of 14 quasars in the vicinity of HE2347-4342, one of the two quasars whose intergalactic HeII forest has been resolved with FUSE. By analysing the HI and the HeII opacity variations separately, no transverse proximity effect is detected near three foreground quasars of HE2347-4342: QSOJ23503-4328 (z=2.282, $\vartheta=3.59$ arcmin), QSOJ23500-4319 (z=2.302, $\vartheta=8.77$ arcmin) and QSOJ23495-4338 (z=2.690, $\vartheta=16.28$ arcmin). This is primarily due to line contamination and overdensities probably created by large-scale structure. By comparing the HI absorption and the corresponding HeII absorption, we estimated the fluctuating spectral shape of the extragalactic UV radiation field along this line of sight. We find that the UV spectral shape near HE2347-4342 and in the projected vicinity of the three foreground quasars is statistically harder than expected from UV background models dominated by quasars. In addition, we find three highly ionised metal line systems near the quasars. However, they do not yield further constraints on the shape of the ionising field. We conclude that the foreground quasars show a transverse proximity effect that is detectable as a local hardening of the UV radiation field, although the evidence is strongest for QSOJ23495-4338. Thus, the relative spectral hardness traces the proximity effect also in overdense regions prohibiting the traditional detection in the HI forest. Furthermore, we emphasise that softening of quasar radiation by radiative transfer in the intergalactic medium is important to understand the observed spectral shape variations. From the transverse proximity effect of QSOJ23495-4338 we obtain a lower limit on the quasar lifetime of ~25 Myr. "
187,Biased random walks on combs,Tanya M Elliott and John F Wheater,"  We develop rigorous, analytic techniques to study the behaviour of biased random walks on combs. This enables us to calculate exactly the spectral dimension of random comb ensembles for any bias scenario in the teeth or spine. Two specific examples of random comb ensembles are discussed; the random comb with nonzero probability of an infinitely long tooth at each vertex on the spine and the random comb with a power law distribution of tooth lengths. We also analyze transport properties along the spine for these probability measures. "
188,Monoid generalizations of the Richard Thompson groups,J. C. Birget,"  The groups G_{k,1} of Richard Thompson and Graham Higman can be generalized in a natural way to monoids, that we call M_{k,1}, and to inverse monoids, called Inv_{k,1}; this is done by simply generalizing bijections to partial functions or partial injective functions. The monoids M_{k,1} have connections with circuit complexity (studied in another paper). Here we prove that M_{k,1} and Inv_{k,1} are congruence-simple for all k. Their Green relations J and D are characterized: M_{k,1} and Inv_{k,1} are J-0-simple, and they have k-1 non-zero D-classes. They are submonoids of the multiplicative part of the Cuntz algebra O_k. They are finitely generated, and their word problem over any finite generating set is in P. Their word problem is coNP-complete over certain infinite generating sets.   Changes in this version: Section 4 has been thoroughly revised, and errors have been corrected; however, the main results of Section 4 do not change. Sections 1, 2, and 3 are unchanged, except for the proof of Theorem 2.3, which was incomplete; a complete proof was published in the Appendix of reference [6], and is also given here. "
189,The Reliability on the Direction of the Incident Neutrino for the Fully   Contained Events and Partially Contained Events due to QEL in the   Super-Kamiokande,"E. Konishi (1), Y. Minorikawa (2), V.I. Galkin (3), M. Ishiwata (4),   I. Nakamura (4), N. Takahashit (1), M. Kato (5) and A. Misaki (6) ((1)   Graduate School of Science and Technology, Hirosaki University (2) School of   Science and Engineering, Kinki University (3) Department of Physics, Moscow   State University (4) Department of Physics, Saitama University (5) Kyowa   Interface Science Co., Ltd., Saitama (6)Advanced Research Institute for   Science and Engineering, Waseda University, Tokyo)","  In the SK analysis of the neutrino events for [Fully Contained Events] and [Partially Contained Events] on their zenith angle distribution, it is assumed that the zenith angle of the incident neutrino is the same as that of the detected charged lepton. In the present paper, we examine the validity of [the SK assumption on the direction] of the incident neutrinos. Concretely speaking, we analyze muon-like events due to QEL. For the purpose, we develop [Time Sequential Monte Carlo Simulation] to extract the conclusion on the validity of the SK assumption. In our [Time Sequential Simulation], we simulate every physical process concerned as exactly as possible without any approximation.   From the comparison between the zenith angle distributon of the emitted muons under [the SK assumption on the direction] and the corresponding one obtained under our [Time Sequential Simulation], it is concluded that the measurement of the direction of the incident neutrino for the neutrino events occurring inside the detector in the SK analysis turns out to be unreliable, which holds irrespective of the existence and/or non-existence of the neutrino oscillation. "
190,Intricate Knots in Proteins: Function and Evolution,"Peter Virnau (1), Leonid A. Mirny (1,2), Mehran Kardar (1) ((1)   Massachusetts Institute of Technology, Department of Physics, Cambridge, MA,   United States of America, (2) Massachusetts Institute of Technology,   Harvard-MIT Division of Health Science and Technology, Cambridge, MA, United   States of America)","  A number of recently discovered protein structures incorporate a rather unexpected structural feature: a knot in the polypeptide backbone. These knots are extremely rare, but their occurrence is likely connected to protein function in as yet unexplored fashion. Our analysis of the complete Protein Data Bank reveals several new knots which, along with previously discovered ones, can shed light on such connections. In particular, we identify the most complex knot discovered to date in human ubiquitin hydrolase, and suggest that its entangled topology protects it against unfolding and degradation by the proteasome. Knots in proteins are typically preserved across species and sometimes even across kingdoms. However, we also identify a knot which only appears in some transcarbamylases while being absent in homologous proteins of similar structure. The emergence of the knot is accompanied by a shift in the enzymatic function of the protein. We suggest that the simple insertion of a short DNA fragment into the gene may suffice to turn an unknotted into a knotted structure in this protein. "
191,Star Formation in Galaxies with Large Lower Surface Brightness Disks,"K. O'Neil, S. Oey, G. Bothun","  We present B, R, and Halpha imaging data of 19 large disk galaxies whose properties are intermediate between classical low surface brightness galaxies and ordinary high surface brightness galaxies. We use data taken from the Lowell 1.8m Perkins telescope to determine the galaxies' overall morphology, color, and star formation properties. Morphologically, the galaxies range from Sb through Irr and include galaxies with and without nuclear bars. The colors of the galaxies vary from B-R = 0.3 - 1.9, and most show at least a slight bluing of the colors with increasing radius. The Halpha images of these galaxies show an average star formation rate lower than is found for similar samples with higher surface brightness disks. Additionally, the galaxies studied have both higher gas mass-to-luminosity and diffuse Halpha emission than is found in higher surface brightness samples. "
192,Domain Wall Dynamics near a Quantum Critical Point,"Shengjun Yuan, Hans De Raedt, Seiji Miyashita","  We study the real-time domain-wall dynamics near a quantum critical point of the one-dimensional anisotropic ferromagnetic spin 1/2 chain. By numerical simulation, we find the domain wall is dynamically stable in the Heisenberg-Ising model. Near the quantum critical point, the width of the domain wall diverges as $(\Delta -1) ^{-1/2}$. "
193,Quantum mechanical approach to decoherence and relaxation generated by   fluctuating environment,S.A. Gurvitz and D. Mozyrsky,"  We consider an electrostatic qubit, interacting with a fluctuating charge of single electron transistor (SET) in the framework of exactly solvable model. The SET plays a role of the fluctuating environment affecting the qubit's parameters in a controllable way. We derive the rate equations describing dynamics of the entire system for both weak and strong qubit-SET coupling. Solving these equation we obtain decoherence and relaxation rates of the qubit, as well as the spectral density of the fluctuating qubit's parameters. We found that in the weak coupling regime the decoherence and relaxation rates are directly related to the spectral density taken at Rabi or at zero frequency, depending on what a particular qubit's parameters is fluctuating. This relation holds also in the presence of weak back-action of the qubit on the fluctuating environment. In the case of strong back-action, such simple relationship no longer holds, even if the qubit-SET coupling is small. It does not hold either in the strong-coupling regime, even in the absence of the back-action. In addition, we found that our model predicts localization of the qubit in the strong-coupling regime, resembling that of the spin-boson model. "
194,Group-theoretical properties of nilpotent modular categories,"Vladimir Drinfeld, Shlomo Gelaki, Dmitri Nikshych, Victor Ostrik","  We characterize a natural class of modular categories of prime power Frobenius-Perron dimension as representation categories of twisted doubles of finite p-groups. We also show that a nilpotent braided fusion category C admits an analogue of the Sylow decomposition. If the simple objects of C have integral Frobenius-Perron dimensions then C is group-theoretical. As a consequence, we obtain that semisimple quasi-Hopf algebras of prime power dimension are group-theoretical. Our arguments are based on a reconstruction of twisted group doubles from Lagrangian subcategories of modular categories (this is reminiscent to the characterization of doubles of quasi-Lie bialgebras in terms of Manin pairs). "
195,Remarks on N_c dependence of decays of exotic baryons,"Karolina Piesciuk, Michal Praszalowicz",  We calculate the N_c dependence of the decay widths of exotic eikosiheptaplet within the framework of Chral Quark Soliton Model. We also discuss generalizations of regular baryon representations for arbitrary N_c. 
196,Analysis of random Boolean networks using the average sensitivity,Steffen Schober and Martin Bossert,"  In this work we consider random Boolean networks that provide a general model for genetic regulatory networks. We extend the analysis of James Lynch who was able to proof Kauffman's conjecture that in the ordered phase of random networks, the number of ineffective and freezing gates is large, where as in the disordered phase their number is small. Lynch proved the conjecture only for networks with connectivity two and non-uniform probabilities for the Boolean functions. We show how to apply the proof to networks with arbitrary connectivity $K$ and to random networks with biased Boolean functions. It turns out that in these cases Lynch's parameter $\lambda$ is equivalent to the expectation of average sensitivity of the Boolean functions used to construct the network. Hence we can apply a known theorem for the expectation of the average sensitivity. In order to prove the results for networks with biased functions, we deduct the expectation of the average sensitivity when only functions with specific connectivity and specific bias are chosen at random. "
197,Theory of polariton mediated Raman scattering in microcavities,"L. M. Leon Hilario, A. Bruchhausen, A. M. Lobos, A. A. Aligia","  We calculate the intensity of the polariton mediated inelastic light scattering in semiconductor microcavities. We treat the exciton-photon coupling nonperturbatively and incorporate lifetime effects in both excitons and photons, and a coupling of the photons to the electron-hole continuum. Taking the matrix elements as fitting parameters, the results are in excellent agreement with measured Raman intensities due to optical phonons resonant with the upper polariton branches in II-VI microcavities with embedded CdTe quantum wells. "
198,Decomposition numbers for finite Coxeter groups and generalised   non-crossing partitions,"Christian Krattenthaler (Universit\""at Wien) and Thomas M\""uller   (Queen Mary & Westfield College, University of London)","  Given a finite irreducible Coxeter group $W$, a positive integer $d$, and types $T_1,T_2,...,T_d$ (in the sense of the classification of finite Coxeter groups), we compute the number of decompositions $c=\si_1\si_2 cdots\si_d$ of a Coxeter element $c$ of $W$, such that $\si_i$ is a Coxeter element in a subgroup of type $T_i$ in $W$, $i=1,2,...,d$, and such that the factorisation is ""minimal"" in the sense that the sum of the ranks of the $T_i$'s, $i=1,2,...,d$, equals the rank of $W$. For the exceptional types, these decomposition numbers have been computed by the first author. The type $A_n$ decomposition numbers have been computed by Goulden and Jackson, albeit using a somewhat different language. We explain how to extract the type $B_n$ decomposition numbers from results of B\'ona, Bousquet, Labelle and Leroux on map enumeration. Our formula for the type $D_n$ decomposition numbers is new. These results are then used to determine, for a fixed positive integer $l$ and fixed integers $r_1\le r_2\le ...\le r_l$, the number of multi-chains $\pi_1\le \pi_2\le ...\le \pi_l$ in Armstrong's generalised non-crossing partitions poset, where the poset rank of $\pi_i$ equals $r_i$, and where the ""block structure"" of $\pi_1$ is prescribed. We demonstrate that this result implies all known enumerative results on ordinary and generalised non-crossing partitions via appropriate summations. Surprisingly, this result on multi-chain enumeration is new even for the original non-crossing partitions of Kreweras. Moreover, the result allows one to solve the problem of rank-selected chain enumeration in the type $D_n$ generalised non-crossing partitions poset, which, in turn, leads to a proof of Armstrong's $F=M$ Conjecture in type $D_n$. "
199,Electromagnetic polarizabilities and the excited states of the nucleon,Martin Schumacher,"  The electromagnetic polarizabilities of the nucleon are shown to be essentially composed of the nonresonant $\alpha_p(E_{0+})=+3.2$, $\alpha_n(E_{0+})=+4.1$,the $t$-channel $\alpha^t_{p,n}=-\beta^t_{p,n}=+7.6$ and the resonant $\beta_{p,n}(P_{33}(1232))=+8.3$ contributions (in units of $10^{-4}$fm$^3$. The remaining deviations from the experimental data $\Delta\alpha_p=1.2\pm 0.6$, $\Delta\beta_p=1.2\mp 0.6$, \Delta\alpha_n=0.8\pm 1.7$ and $\Delta\beta_n=2.0\mp 1.8$ are contributed by a larger number of resonant and nonresonant processes with cancellations between the contributions. This result confirms that dominant contributions to the electric and magnetic polarizabilities may be represented in terms of two-photon couplings to the $\sigma$-meson having the predicted mass $m_\sigma=666$ MeV and two-photon width $\Gamma_{\gamma\gamma}=2.6$ keV. "
200,Hecke-Clifford algebras and spin Hecke algebras I: the classical affine   type,"Ta Khongsap, Weiqiang Wang","  Associated to the classical Weyl groups, we introduce the notion of degenerate spin affine Hecke algebras and affine Hecke-Clifford algebras. For these algebras, we establish the PBW properties, formulate the intertwiners, and describe the centers. We further develop connections of these algebras with the usual degenerate (i.e. graded) affine Hecke algebras of Lusztig by introducing a notion of degenerate covering affine Hecke algebras. "
201,Towards Minimal Resources of Measurement-based Quantum Computation,Simon Perdrix,  We improve the upper bound on the minimal resources required for measurement-based quantum computation. Minimizing the resources required for this model is a key issue for experimental realization of a quantum computer based on projective measurements. This new upper bound allows also to reply in the negative to the open question about the existence of a trade-off between observable and ancillary qubits in measurement-based quantum computation. 
